title,link,citation,summary,resource_title,file_format
Classification of multiple sclerosis clinical profiles via graph convolutional neural networks,https://www.frontiersin.org/articles/10.3389/fnins.2019.00594/full,62,"A Marzullo, G Kocevar, C Stamile… - Frontiers in …, 2019 - frontiersin.org",frontiersin.org,HTML
Minimizing the effect of white matter lesions on deep learning based tissue segmentation for brain volumetry,https://www.sciencedirect.com/science/article/pii/S0895611122001276,2,"A Clèrigues, S Valverde, J Salvi, A Oliver… - … Medical Imaging and …, 2023 - Elsevier",sciencedirect.com,HTML
Subject-specific lesion generation and pseudo-healthy synthesis for multiple sclerosis brain images,https://link.springer.com/chapter/10.1007/978-3-031-16980-9_1,6,"BD Basaran, M Qiao, PM Matthews, W Bai - International Workshop on …, 2022 - Springer",arxiv.org,PDF
Computer-aided diagnosis of multiple sclerosis using a support vector machine and optical coherence tomography features,https://www.mdpi.com/1424-8220/19/23/5323,52,"C Cavaliere, E Vilades, MC Alonso-Rodríguez… - Sensors, 2019 - mdpi.com",mdpi.com,PDF
Progressive multifocal leukoencephalopathy lesion and brain parenchymal segmentation from MRI using serial deep convolutional neural networks,https://www.sciencedirect.com/science/article/pii/S2213158220303363,4,"O Al-Louzi, S Roy, I Osuorah, P Parvathaneni… - NeuroImage: Clinical, 2020 - Elsevier",sciencedirect.com,HTML
Deep learning and radiomics based automatic diagnosis of hippocampal sclerosis,https://www.tandfonline.com/doi/abs/10.1080/00207454.2021.2018428,5,"D Zhang, Y Tong, Z Hu, G Wu, J He, Z Fan… - International Journal …, 2023 - Taylor & Francis",,
GAMER-MRI in multiple sclerosis identifies the diffusion-based microstructural measures that are most sensitive to focal damage: A Deep-Learning-Based …,https://www.frontiersin.org/articles/10.3389/fnins.2021.647535/full,5,"PJ Lu, M Barakovic, M Weigel… - Frontiers in …, 2021 - frontiersin.org",frontiersin.org,HTML
DenseNet-201-based deep neural network with composite learning factor and precomputation for multiple sclerosis classification,https://dl.acm.org/doi/abs/10.1145/3341095,191,"SH Wang, YD Zhang - ACM Transactions on Multimedia Computing …, 2020 - dl.acm.org",researchgate.net,PDF
Multi-view representation learning for segmentation of abnormal tissues in medical images applied to multiple sclerosis lesion delineation,https://link.springer.com/article/10.1007/s42452-019-1151-7,,"H Khastavaneh, H Ebrahimpour-Komleh - SN Applied Sciences, 2019 - Springer",springer.com,HTML
Fully automatic method for reliable spinal cord compartment segmentation in multiple sclerosis,http://www.ajnr.org/content/44/2/218.abstract,1,"C Tsagkas, A Horvath-Huck, T Haas… - American Journal …, 2023 - Am Soc Neuroradiology",ajnr.org,PDF
Automatic brain structures segmentation using deep residual dilated U-Net,https://link.springer.com/chapter/10.1007/978-3-030-11723-8_39,22,"H Li, A Zhygallo, B Menze - … , Multiple Sclerosis, Stroke and Traumatic …, 2019 - Springer",arxiv.org,PDF
Fusing unsupervised and supervised deep learning for white matter lesion segmentation,https://proceedings.mlr.press/v102/baur19a.html,33,"C Baur, B Wiestler, S Albarqouni… - … with Deep Learning, 2019 - proceedings.mlr.press",mlr.press,PDF
ProMiSi Architecture-A Tool for the Estimation of the Progression of Multiple Sclerosis Disease using MRI,https://ieeexplore.ieee.org/abstract/document/8941642/,5,"E Tripoliti, S Zelilidou, K Vlahos… - 2019 IEEE 19th …, 2019 - ieeexplore.ieee.org",,
Multiclass semantic segmentation and quantification of traumatic brain injury lesions on head CT using deep learning: an algorithm development and …,https://www.thelancet.com/journals/landig/article/PIIS2589-7500(20)30085-6/fulltext?ref=https://githubhelp.com,92,"M Monteiro, VFJ Newcombe, F Mathieu… - The Lancet Digital …, 2020 - thelancet.com",thelancet.com,HTML
Prediction of unenhanced lesion evolution in multiple sclerosis using radiomics-based models: a machine learning approach,https://www.sciencedirect.com/science/article/pii/S221103482100256X,17,"Y Peng, Y Zheng, Z Tan, J Liu, Y Xiang, H Liu… - Multiple Sclerosis and …, 2021 - Elsevier",hospital-cqmu.com,PDF
An accurate multiple sclerosis detection model based on exemplar multiple parameters local phase quantization: ExMPLPQ,https://www.mdpi.com/2076-3417/12/10/4920,24,"G Macin, B Tasci, I Tasci, O Faust, PD Barua, S Dogan… - Applied Sciences, 2022 - mdpi.com",mdpi.com,HTML
Deep active learning for axon-myelin segmentation on histology data,https://arxiv.org/abs/1907.05143,27,"ML Di Scandalea, CS Perone, M Boudreau… - arXiv preprint arXiv …, 2019 - arxiv.org",arxiv.org,PDF
Multiple Sclerosis Identification Based on Ensemble Machine Learning Technique,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3734806,3,"S Jain, N Rajpal, J Yadav - … of the 2nd International Conference on …, 2020 - papers.ssrn.com",,
An accurate multiple sclerosis detection model based on exemplar multiple parameters local phase quantization: ExMPLPQ,https://www.mdpi.com/2076-3417/12/10/4920,24,"G Macin, B Tasci, I Tasci, O Faust, PD Barua, S Dogan… - Applied Sciences, 2022 - mdpi.com",mdpi.com,HTML
Deep Learning-Based PET/MR Radiomics for the Prediction of Annualized Relapse Rate in Multiple Sclerosis,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4226062,,"S Du, C Yuan, Q Zhou, X Huang, H Meng… - … in Multiple Sclerosis …, 2022 - papers.ssrn.com",,
Deep active learning for axon-myelin segmentation on histology data,https://arxiv.org/abs/1907.05143,27,"ML Di Scandalea, CS Perone, M Boudreau… - arXiv preprint arXiv …, 2019 - arxiv.org",arxiv.org,PDF
Multiple Sclerosis Identification Based on Ensemble Machine Learning Technique,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3734806,3,"S Jain, N Rajpal, J Yadav - … of the 2nd International Conference on …, 2020 - papers.ssrn.com",,
Automated Diagnosis of Multiple Sclerosis Lesions in Brain MRI Using 3D-FLAIR Acquisition,https://link.springer.com/chapter/10.1007/978-981-16-2102-4_1,1,"C Dachraoui, A Mouelhi, C Drissi, S Labidi - Proceedings of Sixth …, 2022 - Springer",researchgate.net,PDF
Circular non-uniform sampling patch inputs for CNN applied to multiple sclerosis lesion segmentation,https://link.springer.com/chapter/10.1007/978-3-030-13469-3_78,3,"G Ulloa, R Naranjo, H Allende-Cid, S Chabert… - Progress in Pattern …, 2019 - Springer",,
MRI segmentation and classification of human brain using deep learning for diagnosis of Alzheimer's disease: a survey,https://www.mdpi.com/1424-8220/20/11/3243,131,"N Yamanakkanavar, JY Choi, B Lee - Sensors, 2020 - mdpi.com",mdpi.com,PDF
A Convolutional Neural Network model for identifying Multiple Sclerosis on brain FLAIR MRI,https://www.sciencedirect.com/science/article/pii/S2210537922000464,8,"ZY Acar, F Başçiftçi, AH Ekmekci - Sustainable Computing: Informatics and …, 2022 - Elsevier",,
LG-Net: Lesion gate network for multiple sclerosis lesion inpainting,https://link.springer.com/chapter/10.1007/978-3-030-87234-2_62,9,"Z Tang, M Cabezas, D Liu, M Barnett, W Cai… - … Image Computing and …, 2021 - Springer",,
A three-dimensional reconstruction integrated system for brain multiple sclerosis lesions,https://link.springer.com/chapter/10.1007/978-3-030-89128-2_26,3,"C Gregoriou, CP Loizou, A Georgiou… - … on Computer Analysis …, 2021 - Springer",,
Classifying multiple sclerosis patients on the basis of SDMT performance using machine learning,https://journals.sagepub.com/doi/abs/10.1177/1352458520958362,19,"K Buyukturkoglu, D Zeng, S Bharadwaj… - Multiple Sclerosis …, 2021 - journals.sagepub.com",sagepub.com,HTML
Supervised meta-heuristic extreme learning machine for multiple sclerosis detection based on multiple feature descriptors in MR images,https://link.springer.com/article/10.1007/s42452-020-2699-y,19,"A Rezaee, K Rezaee, J Haddadnia, HT Gorji - SN Applied Sciences, 2020 - Springer",springer.com,HTML
Convolutional neural network–based automated segmentation of the spinal cord and contusion injury: Deep learning biomarker correlates of motor …,http://www.ajnr.org/content/40/4/737,55,"DB McCoy, SM Dupont, C Gros… - American Journal …, 2019 - Am Soc Neuroradiology",ajnr.org,HTML
ICHNet: intracerebral hemorrhage (ICH) segmentation using deep learning,https://link.springer.com/chapter/10.1007/978-3-030-11723-8_46,32,"M Islam, P Sanghani, AAQ See, ML James… - … , Multiple Sclerosis …, 2019 - Springer",researchgate.net,PDF
Robust 3D MRI Segmentation of Multiple Sclerosis Lesions,https://inria.hal.science/hal-03358968/preview/MSSEG2_Challenge_Proceedings.pdf#page=90,,"MMR Siddiquee, A Myronenko - … proceedings: Multiple sclerosis …, 2021 - inria.hal.science",hal.science,PDF
Swept source optical coherence tomography to early detect multiple sclerosis disease. The use of machine learning techniques,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0216410,61,"A Perez del Palomar, J Cegonino, A Montolio… - PloS one, 2019 - journals.plos.org",plos.org,HTML
An interpretable machine learning model to predict cortical atrophy in multiple sclerosis,https://www.mdpi.com/2076-3425/13/2/198,3,"A Conti, CA Treaba, A Mehndiratta, VT Barletta… - Brain Sciences, 2023 - mdpi.com",mdpi.com,PDF
Segmentation of new ms lesions with tiramisu and 2.5 d stacked slices,https://inria.hal.science/hal-03358968/document#page=70,8,"H Zhang, H Li, I Oguz - … Multiple sclerosis new lesions segmentation …, 2021 - inria.hal.science",hal.science,PDF
Tumor segmentation and survival prediction in glioma with deep learning,https://link.springer.com/chapter/10.1007/978-3-030-11726-9_8,39,"L Sun, S Zhang, L Luo - … : Glioma, Multiple Sclerosis, Stroke and Traumatic …, 2019 - Springer",,
Machine learning classifier to identify clinical and radiological features relevant to disability progression in multiple sclerosis,https://link.springer.com/article/10.1007/s00415-021-10605-7,23,"S Tommasin, S Cocozza, A Taloni, C Giannì… - Journal of …, 2021 - Springer",springer.com,HTML
… of diffusion tensor imaging along with machine learning provides new sensitive measures of tissue pathology and intra-lesion activity in multiple sclerosis,https://www.frontiersin.org/articles/10.3389/fnins.2021.634063/full,9,"O Oladosu, WQ Liu, BG Pike, M Koch… - Frontiers in …, 2021 - frontiersin.org",frontiersin.org,HTML
Deep learning based joint segmentation and characterization of multi-class retinal fluid lesions on OCT scans for clinical use in anti-VEGF therapy,https://www.sciencedirect.com/science/article/pii/S0010482521005217,47,"B Hassan, S Qin, R Ahmed, T Hassan… - Computers in Biology …, 2021 - Elsevier",,
Expert Variability and Deep Learning Performance in Spinal Cord Lesion Segmentation for Multiple Sclerosis Patients,https://inria.hal.science/hal-04090598/,,"R Walsh, C Meurée, A Kerbrat, A Masson… - IEEE CBMS 2023 …, 2023 - inria.hal.science",hal.science,PDF
Machine learning and multiparametric brain MRI to differentiate hereditary diffuse leukodystrophy with spheroids from multiple sclerosis,https://onlinelibrary.wiley.com/doi/abs/10.1111/jon.12725,12,"G Mangeat, R Ouellette, M Wabartha… - Journal of …, 2020 - Wiley Online Library",wiley.com,PDF
Automatic Segmentation of Retinal Layers in Multiple Neurodegenerative Disorder Scenarios,https://ieeexplore.ieee.org/abstract/document/10244037/,1,"M Gende, V Mallen, J de Moura… - IEEE Journal of …, 2023 - ieeexplore.ieee.org",ieee.org,PDF
Distribution-based imaging for multiple sclerosis lesion segmentation using specialized fuzzy 2-means powered by Nakagami transmutations,https://www.sciencedirect.com/science/article/pii/S156849462100404X,6,"O Alpar, O Krejcar, R Dolezal - Applied Soft Computing, 2021 - Elsevier",,
Data augmentation using generative adversarial neural networks on brain structural connectivity in multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S0169260721001887,44,"B Barile, A Marzullo, C Stamile, F Durand-Dubief… - Computer methods and …, 2021 - Elsevier",sciencedirect.com,PDF
Automatic multiclass intramedullary spinal cord tumor segmentation on MRI with deep learning,https://www.sciencedirect.com/science/article/pii/S2213158221002102,26,"A Lemay, C Gros, Z Zhuo, J Zhang, Y Duan… - NeuroImage: Clinical, 2021 - Elsevier",sciencedirect.com,HTML
Single-timepoint low-dimensional characterization and classification of acute versus chronic multiple sclerosis lesions using machine learning,https://www.sciencedirect.com/science/article/pii/S1053811922009089,4,"B Caba, A Cafaro, A Lombard, DL Arnold, C Elliott… - NeuroImage, 2023 - Elsevier",sciencedirect.com,HTML
Multiple Sclerosis Disease Evolution Assessment in Brain MRI Lesions Based on Texture and Multi-Scale Amplitude Modulation-Frequency Modulation (AM-FM) …,https://ieeexplore.ieee.org/abstract/document/10078881/,1,"CP Loizou, K Fotso, A Nicolaou, M Pantzaris… - IEEE …, 2023 - ieeexplore.ieee.org",ieee.org,PDF
Cortical and phase rim lesions on 7 T MRI as markers of multiple sclerosis disease progression,https://academic.oup.com/braincomms/article-abstract/3/3/fcab134/6308940,20,"CA Treaba, A Conti, EC Klawiter… - Brain …, 2021 - academic.oup.com",oup.com,HTML
Classification of multiple sclerosis clinical profiles using machine learning and grey matter connectome,https://www.frontiersin.org/articles/10.3389/frobt.2022.926255/full,4,"B Barile, P Ashtari, C Stamile, A Marzullo… - Frontiers in Robotics …, 2022 - frontiersin.org",frontiersin.org,HTML
TAPAS: A thresholding approach for probability map automatic segmentation in multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S2213158220300930,6,"AM Valcarcel, J Muschelli, DL Pham, ML Martin… - NeuroImage: Clinical, 2020 - Elsevier",sciencedirect.com,HTML
Deep convolutional neural networks using U-Net for automatic brain tumor segmentation in multimodal MRI volumes,https://link.springer.com/chapter/10.1007/978-3-030-11726-9_4,136,"A Kermi, I Mahmoudi, MT Khadir - … Multiple Sclerosis, Stroke and Traumatic …, 2019 - Springer",,
Self-supervised lesion change detection and localisation in longitudinal multiple sclerosis brain imaging,https://link.springer.com/chapter/10.1007/978-3-030-87234-2_63,6,"MS To, IG Sarno, C Chong, M Jenkinson… - … Conference on Medical …, 2021 - Springer",arxiv.org,PDF
Automatic segmentation of white matter hyperintensities from brain magnetic resonance images in the era of deep learning and big data–A systematic review,https://www.sciencedirect.com/science/article/pii/S089561112100015X,40,"R Balakrishnan, MCV Hernández, AJ Farrall - … Medical Imaging and …, 2021 - Elsevier",sciencedirect.com,HTML
Image domain transfer by deep learning is feasible in multiple sclerosis clinical practice,https://journals.lww.com/investigativeradiology/Fulltext/2020/05000/Image_Domain_Transfer_by_Deep_Learning_is_Feasible.10.aspx?context=LatestArticles,4,"A Hagiwara, K Kamagata, S Aoki - Investigative Radiology, 2020 - journals.lww.com",,
Current and future applications of artificial intelligence in Multiple Sclerosis,https://www.sciencedirect.com/science/article/pii/B9780323900379000126,3,"L Cacciaguerra, L Storelli, MA Rocca… - … Disorder Prediction and …, 2022 - Elsevier",,
Future activity prediction of multiple sclerosis with 3d mri using 3d discrete wavelet transform,https://www.sciencedirect.com/science/article/pii/S1746809422004402,4,"ZY Acar, F Başçiftçi, AH Ekmekci - Biomedical Signal Processing and …, 2022 - Elsevier",,
Stratification of multiple sclerosis patients using unsupervised machine learning: a single-visit MRI-driven approach,https://link.springer.com/article/10.1007/s00330-022-08610-z,10,"G Pontillo, S Penna, S Cocozza, M Quarantelli… - European …, 2022 - Springer",springer.com,HTML
Fully automated detection of paramagnetic rims in multiple sclerosis lesions on 3T susceptibility-based MR imaging,https://www.sciencedirect.com/science/article/pii/S2213158221002400,14,"C Lou, P Sati, M Absinta, K Clark, JD Dworkin… - NeuroImage: Clinical, 2021 - Elsevier",sciencedirect.com,HTML
An atlas of classifiers—a machine learning paradigm for brain MRI segmentation,https://link.springer.com/article/10.1007/s11517-021-02414-x,1,"S Gordon, B Kodner, T Goldfryd, M Sidorov… - Medical & Biological …, 2021 - Springer",researchgate.net,PDF
Automated thalamic nuclei segmentation using multi-planar cascaded convolutional neural networks,https://www.sciencedirect.com/science/article/pii/S0730725X20303118,10,"MS Majdi, MB Keerthivasan, BK Rutt, NM Zahr… - Magnetic resonance …, 2020 - Elsevier",nih.gov,HTML
Modeling healthy anatomy with artificial intelligence for unsupervised anomaly detection in brain MRI,https://pubs.rsna.org/doi/abs/10.1148/ryai.2021190169,31,"C Baur, B Wiestler, M Muehlau, C Zimmer… - Radiology: Artificial …, 2021 - pubs.rsna.org",rsna.org,PDF
Multi-institutional deep learning modeling without sharing patient data: A feasibility study on brain tumor segmentation,https://link.springer.com/chapter/10.1007/978-3-030-11723-8_9,482,"MJ Sheller, GA Reina, B Edwards, J Martin… - … , Multiple Sclerosis …, 2019 - Springer",nih.gov,HTML
Automated classification of intramedullary spinal cord tumors and inflammatory demyelinating lesions using deep learning,https://pubs.rsna.org/doi/abs/10.1148/ryai.210292,8,"Z Zhuo, J Zhang, Y Duan, L Qu, C Feng… - Radiology: Artificial …, 2022 - pubs.rsna.org",rsna.org,PDF
Estimating treatment effect for individuals with progressive multiple sclerosis using deep learning,https://www.medrxiv.org/content/10.1101/2021.10.31.21265690.abstract,,"JPR Falet, J Durso-Finley, B Nichyporuk, J Schroeter… - medRxiv, 2021 - medrxiv.org",medrxiv.org,PDF
Machine learning to investigate superficial white matter integrity in early multiple sclerosis,https://onlinelibrary.wiley.com/doi/abs/10.1111/jon.12934,7,"K Buyukturkoglu, C Vergara… - Journal of …, 2022 - Wiley Online Library",nih.gov,HTML
A clinically-compatible workflow for computer-aided assessment of brain disease activity in multiple sclerosis patients,https://www.frontiersin.org/articles/10.3389/fmed.2021.740248/full,8,"B Combès, A Kerbrat, G Pasquier… - Frontiers in …, 2021 - frontiersin.org",frontiersin.org,HTML
A combined radiomics and machine learning approach to overcome the clinicoradiologic paradox in multiple sclerosis,http://www.ajnr.org/content/42/11/1927.abstract,10,"G Pontillo, S Tommasin, R Cuocolo… - American Journal …, 2021 - Am Soc Neuroradiology",ajnr.org,PDF
Comparison of machine learning methods using spectralis OCT for diagnosis and disability progression prognosis in multiple sclerosis,https://link.springer.com/article/10.1007/s10439-022-02930-3,23,"A Montolío, J CEGONino, E Garcia-Martin… - Annals of Biomedical …, 2022 - Springer",springer.com,HTML
DeepHarmony: A deep learning approach to contrast harmonization across scanner changes,https://www.sciencedirect.com/science/article/pii/S0730725X18306490,178,"BE Dewey, C Zhao, JC Reinhold, A Carass… - Magnetic resonance …, 2019 - Elsevier",nih.gov,HTML
Multiple sclerosis lesion filling using a non-lesion attention based convolutional network,https://link.springer.com/chapter/10.1007/978-3-030-63830-6_38,4,"H Xiong, C Wang, M Barnett, C Wang - … 23–27, 2020, Proceedings, Part I …, 2020 - Springer",,
A study on loss functions and decision thresholds for the segmentation of multiple sclerosis lesions on spinal cord MRI,https://ieeexplore.ieee.org/abstract/document/10230676/,1,"BR Hussein, C Meurée, M Gaubert… - 2023 IEEE 20th …, 2023 - ieeexplore.ieee.org",hal.science,PDF
A fully automated deep learning network for brain tumor segmentation,https://www.mdpi.com/2379-139X/6/2/186,62,"CGB Yogananda, BR Shah, M Vejdani-Jahromi… - Tomography, 2020 - mdpi.com",mdpi.com,PDF
Segmentation of leukocyte by semantic segmentation model: A deep learning approach,https://www.sciencedirect.com/science/article/pii/S1746809420304912,37,"RM Roy, PM Ameer - Biomedical Signal Processing and Control, 2021 - Elsevier",,
Differentiation between multiple sclerosis and neuromyelitis optica spectrum disorders by multiparametric quantitative MRI using convolutional neural network,https://www.sciencedirect.com/science/article/pii/S0967586821000916,9,"A Hagiwara, Y Otsuka, C Andica, S Kato… - Journal of Clinical …, 2021 - Elsevier",sciencedirect.com,HTML
Multimodal image analysis for assessing multiple sclerosis and future prospects powered by artificial intelligence,https://www.sciencedirect.com/science/article/pii/S0887217120300135,3,"M Kim, V Jewells - Seminars in Ultrasound, CT and MRI, 2020 - Elsevier",,
Multi-scale deep convolutional neural network for stroke lesions segmentation on CT images,https://link.springer.com/chapter/10.1007/978-3-030-11723-8_28,11,"L Liu, S Yang, L Meng, M Li, J Wang - … : Glioma, Multiple Sclerosis, Stroke …, 2019 - Springer",,
Classification of pituitary tumor and multiple sclerosis brain lesions through convolutional neural networks,https://iopscience.iop.org/article/10.1088/1757-899X/1049/1/012014/meta,7,"R Shrwan, A Gupta - IOP Conference Series: Materials Science …, 2021 - iopscience.iop.org",iop.org,PDF
Assisting the diagnosis of multiple sclerosis using a set of regional brain volumes: A classification model for patients and healthy controls,https://www.sciencedirect.com/science/article/pii/S2352914821002409,3,"S Aoki, J Fujimori, R Mikami, K Hoshi… - Informatics in Medicine …, 2021 - Elsevier",sciencedirect.com,HTML
Segmentation of leukocyte by semantic segmentation model: A deep learning approach,https://www.sciencedirect.com/science/article/pii/S1746809420304912,37,"RM Roy, PM Ameer - Biomedical Signal Processing and Control, 2021 - Elsevier",,
Differentiation between multiple sclerosis and neuromyelitis optica spectrum disorders by multiparametric quantitative MRI using convolutional neural network,https://www.sciencedirect.com/science/article/pii/S0967586821000916,9,"A Hagiwara, Y Otsuka, C Andica, S Kato… - Journal of Clinical …, 2021 - Elsevier",sciencedirect.com,HTML
Multimodal image analysis for assessing multiple sclerosis and future prospects powered by artificial intelligence,https://www.sciencedirect.com/science/article/pii/S0887217120300135,3,"M Kim, V Jewells - Seminars in Ultrasound, CT and MRI, 2020 - Elsevier",,
Multi-scale deep convolutional neural network for stroke lesions segmentation on CT images,https://link.springer.com/chapter/10.1007/978-3-030-11723-8_28,11,"L Liu, S Yang, L Meng, M Li, J Wang - … : Glioma, Multiple Sclerosis, Stroke …, 2019 - Springer",,
Classification of pituitary tumor and multiple sclerosis brain lesions through convolutional neural networks,https://iopscience.iop.org/article/10.1088/1757-899X/1049/1/012014/meta,7,"R Shrwan, A Gupta - IOP Conference Series: Materials Science …, 2021 - iopscience.iop.org",iop.org,PDF
Sensitivity of portable low-field magnetic resonance imaging for multiple sclerosis lesions,https://www.sciencedirect.com/science/article/pii/S2213158222001668,17,"TC Arnold, D Tu, SV Okar, G Nair, KD Kawatra… - NeuroImage: Clinical, 2022 - Elsevier",sciencedirect.com,HTML
"FLAIR2 improves LesionTOADS automatic segmentation of multiple sclerosis lesions in non-homogenized, multi-center, 2D clinical magnetic resonance …",https://www.sciencedirect.com/science/article/pii/S2213158219302682,8,"M Le, LYW Tang, E Hernández-Torres, M Jarrett… - NeuroImage: Clinical, 2019 - Elsevier",sciencedirect.com,HTML
Classification of multiple sclerosis based on patterns of CNS regional atrophy covariance,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.25375,12,"C Tsagkas, K Parmar, S Pezold, C Barro… - Human brain …, 2021 - Wiley Online Library",wiley.com,PDF
Brain MRI monitoring approach of lesion progress in multiple sclerosis using active contours,https://www.inderscienceonline.com/doi/abs/10.1504/IJMIC.2021.122465,2,"C Dachraoui, A Mouelhi… - International Journal of …, 2021 - inderscienceonline.com",researchgate.net,PDF
Machine learning classification of multiple sclerosis in children using optical coherence tomography,https://journals.sagepub.com/doi/abs/10.1177/13524585221112605,5,"B Ciftci Kavaklioglu, L Erdman… - Multiple Sclerosis …, 2022 - journals.sagepub.com",sagepub.com,HTML
An analysis of the impact of annotation errors on the accuracy of deep learning for cell segmentation,https://proceedings.mlr.press/v172/vadineanu22a.html,11,"Ş Vădineanu, DM Pelt, O Dzyubachyk… - … with Deep Learning, 2022 - proceedings.mlr.press",mlr.press,PDF
Deep learning for brain metastasis detection and segmentation in longitudinal MRI data,https://aapm.onlinelibrary.wiley.com/doi/abs/10.1002/mp.15863,19,"Y Huang, C Bert, P Sommer, B Frey, U Gaipl… - Medical …, 2022 - Wiley Online Library",wiley.com,PDF
Automatic segmentation of the optic nerve in transorbital ultrasound images using a deep learning approach,https://ieeexplore.ieee.org/abstract/document/9593827/,2,"KM Meiburger, A Naldi, P Lochner… - 2021 IEEE International …, 2021 - ieeexplore.ieee.org",,
Deep learning based brain tumor segmentation: a survey,https://link.springer.com/article/10.1007/s40747-022-00815-5,129,"Z Liu, L Tong, L Chen, Z Jiang, F Zhou, Q Zhang… - Complex & intelligent …, 2023 - Springer",springer.com,HTML
Trialing u-net training modifications for segmenting gliomas using open source deep learning framework,https://link.springer.com/chapter/10.1007/978-3-030-72087-2_4,9,"DG Ellis, MR Aizenberg - … Glioma, Multiple Sclerosis, Stroke and Traumatic …, 2021 - Springer",researchgate.net,PDF
Accelerated white matter lesion analysis based on simultaneous T1 and T2∗ quantification using magnetic resonance fingerprinting and deep learning,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.28688,12,"I Hermann, E Martínez‐Heras, B Rieger… - Magnetic …, 2021 - Wiley Online Library",wiley.com,PDF
Ensemble learning for multiple sclerosis disability estimation using brain structural connectivity,https://www.liebertpub.com/doi/abs/10.1089/brain.2020.1003,7,"B Barile, A Marzullo, C Stamile, F Durand-Dubief… - Brain …, 2022 - liebertpub.com",liebertpub.com,PDF
SoftSeg: Advantages of soft versus binary training for image segmentation,https://www.sciencedirect.com/science/article/pii/S1361841521000840,54,"C Gros, A Lemay, J Cohen-Adad - Medical image analysis, 2021 - Elsevier",arxiv.org,PDF
Reliability of brain atrophy measurements in multiple sclerosis using MRI: an assessment of six freely available software packages for cross-sectional …,https://link.springer.com/article/10.1007/s00234-023-03189-8,2,"DR Van Nederpelt, H Amiri, I Brouwer, S Noteboom… - Neuroradiology, 2023 - Springer",springer.com,HTML
Commercial volumetric MRI reporting tools in multiple sclerosis: a systematic review of the evidence,https://link.springer.com/article/10.1007/s00234-022-03074-w,14,"Z Mendelsohn, HG Pemberton, J Gray, O Goodkin… - Neuroradiology, 2023 - Springer",springer.com,HTML
Rule extraction in the assessment of brain MRI lesions in multiple sclerosis: preliminary findings,https://link.springer.com/chapter/10.1007/978-3-030-89128-2_27,8,"A Nicolaou, CP Loizou, M Pantzaris, A Kakas… - … on Computer Analysis …, 2021 - Springer",,
A structural causal model for MR images of multiple sclerosis,https://link.springer.com/chapter/10.1007/978-3-030-87240-3_75,26,"JC Reinhold, A Carass, JL Prince - … France, September 27–October 1, 2021 …, 2021 - Springer",arxiv.org,PDF
Uncertainty-aware and lesion-specific image synthesis in multiple sclerosis magnetic resonance imaging: a multicentric validation study,https://www.frontiersin.org/articles/10.3389/fnins.2022.889808/full,8,"T Finck, H Li, S Schlaeger, L Grundl… - Frontiers in …, 2022 - frontiersin.org",frontiersin.org,HTML
Novel structural-scale uncertainty measures and error retention curves: application to multiple sclerosis,https://ieeexplore.ieee.org/abstract/document/10230563/,3,"N Molchanova, V Raina, A Malinin… - 2023 IEEE 20th …, 2023 - ieeexplore.ieee.org",arxiv.org,PDF
Learning to segment when experts disagree,https://link.springer.com/chapter/10.1007/978-3-030-59710-8_18,20,"L Zhang, R Tanno, K Bronik, C Jin, P Nachev… - … Image Computing and …, 2020 - Springer",ucl.ac.uk,PDF
Longitudinal deep network for consistent oct layer segmentation,https://opg.optica.org/abstract.cfm?uri=boe-14-5-1874,4,"Y He, A Carass, Y Liu, PA Calabresi… - Biomedical Optics …, 2023 - opg.optica.org",optica.org,HTML
Robust deep learning–based segmentation of glioblastoma on routine clinical MRI scans using sparsified training,https://pubs.rsna.org/doi/abs/10.1148/ryai.2020190103,20,"RS Eijgelaar, M Visser, DMJ Müller… - Radiology: Artificial …, 2020 - pubs.rsna.org",rsna.org,PDF
Present and future of the diagnostic work-up of multiple sclerosis: the imaging perspective,https://link.springer.com/article/10.1007/s00415-022-11488-y,14,"M Filippi, P Preziosa, DL Arnold, F Barkhof… - Journal of …, 2023 - Springer",springer.com,HTML
Machine learning use for prognostic purposes in multiple sclerosis,https://www.mdpi.com/2075-1729/11/2/122,31,"R Seccia, S Romano, M Salvetti, A Crisanti, L Palagi… - Life, 2021 - mdpi.com",mdpi.com,PDF
"A review of deep learning-based multiple-lesion recognition from medical images: classification, detection and segmentation",https://www.sciencedirect.com/science/article/pii/S0010482523001919,41,"H Jiang, Z Diao, T Shi, Y Zhou, F Wang, W Hu… - Computers in Biology …, 2023 - Elsevier",,
Interinstitutional portability of a deep learning brain MRI lesion segmentation algorithm,https://pubs.rsna.org/doi/abs/10.1148/ryai.2021200152,22,"AM Rauschecker, TJ Gleason, P Nedelec… - Radiology: Artificial …, 2021 - pubs.rsna.org",rsna.org,PDF
